Function name;Count;Files name
scanopts;1;['ldapsearch.nasl']
fetchlabels;1;['dns_xfer.nasl']
hex2str;1;['packeteer_web_login.nasl']
get_domino_version;1;['http_version.nasl']
OrcaGetVersion;1;['gb_orca_browser_detect.nasl']
load_long;1;['dcetest.nasl']
reverse_remove;1;['shopplus_information_disclosure.nasl']
initialize_dirs;1;['DDI_IIS_Compromised.nasl']
test;6;['ftpd_any_cmd.nasl', 'ftpd_bad_sequence.nasl', 'netop_detect_tcp.nasl', 'netop_detect_udp.nasl', 'tcp_timestamps.nasl', 'ypupdated_remote_exec.nasl']
on_exit;8;['amap.nasl', 'ftpd_1byte_overflow.nasl', 'ike-scan.nasl', 'nmap.nasl', 'ospf_detect.nasl', 'remote-web-w3af.nasl', 'remote-web-wapiti.nasl', 'vnc_security_types.nasl']
token_parse;1;['webmirror.nasl']
mozillaGetVersion;1;['gb_mozilla_detect_win.nasl']
netstr;1;['qmtp_detect.nasl']
attack_dce_req_3;1;['msrpc-spike27.nasl']
count_ayt;1;['teso_telnet.nasl']
svcopenscmanager;1;['smb_enum_services.nasl']
grabHostInfos;1;['remote-detect-MDNS.nasl']
run_slad_sfc;1;['GSHB_SLAD_SFC_verifyonly.nasl']
report_missed_ssl;1;['doublecheck_std_services.nasl']
OperaGetVer;1;['secpod_opera_detection_win_900036.nasl']
riptext;1;['X.nasl']
make_argv;1;['snmpwalk_portscan.nasl']
pre_parse;1;['webmirror.nasl']
parse_href_or_src;1;['webmirror.nasl']
packet_parse;2;['checkpoint-vpn1-pat-information-disclosure.nasl', 'msdns-server-hostname-disclosure.nasl']
checkwin;1;['phprocketaddin_traversal.nasl']
check_database_version;1;['nav_installed.nasl']
check_cache;1;['DDI_IIS_Compromised.nasl']
login;1;['binlogin_overflow_telnet.nasl']
_TTL;1;['os_fingerprint.nasl']
my_http_keepalive_send_recv;1;['webmirror.nasl']
test_cgi;2;['domino_authentication_bypass.nasl', 'domino_default_db.nasl']
moredata;1;['smb_enum_services.nasl']
get_file_version;72;['gb_ms08-047.nasl', 'gb_ms08-075.nasl', 'gb_ms_ie_info_disc_vuln.nasl', 'gb_ms_ie_style_object_remote_code_exec_vuln.nasl', 'gb_ms_video_actvx_bof_vuln_jul09.nasl', 'gb_ms_windows_library_code_exec_vuln.nasl', 'secpod_ms08-058_900054.nasl', 'secpod_ms08-061_900051.nasl', 'secpod_ms08-062_900052.nasl', 'secpod_ms08-064_900225.nasl', 'secpod_ms08-068_900057.nasl', 'secpod_ms08-071.nasl', 'secpod_ms08-073.nasl', 'secpod_ms09-006.nasl', 'secpod_ms09-007.nasl', 'secpod_ms09-012.nasl', 'secpod_ms09-013.nasl', 'secpod_ms09-014.nasl', 'secpod_ms09-015.nasl', 'secpod_ms09-019.nasl', 'secpod_ms09-022.nasl', 'secpod_ms09-025.nasl', 'secpod_ms09-026.nasl', 'secpod_ms09-029.nasl', 'secpod_ms09-034.nasl', 'secpod_ms09-038.nasl', 'secpod_ms09-041.nasl', 'secpod_ms09-044.nasl', 'secpod_ms09-045.nasl', 'secpod_ms09-048.nasl', 'secpod_ms09-051.nasl', 'secpod_ms09-053.nasl', 'secpod_ms09-054.nasl', 'secpod_ms09-056.nasl', 'secpod_ms09-058.nasl', 'secpod_ms09-059.nasl', 'secpod_ms09-065.nasl', 'secpod_ms09-071.nasl', 'secpod_ms10-001.nasl', 'secpod_ms10-002.nasl', 'secpod_ms10-006.nasl', 'secpod_ms10-012.nasl', 'secpod_ms10-015.nasl', 'secpod_ms10-018.nasl', 'secpod_ms10-019.nasl', 'secpod_ms10-020.nasl', 'secpod_ms10-021.nasl', 'secpod_ms10-022.nasl', 'secpod_ms10-026.nasl', 'secpod_ms10-029.nasl', 'secpod_ms10-032.nasl', 'secpod_ms10-033.nasl', 'secpod_ms10-035.nasl', 'secpod_ms10-037.nasl', 'secpod_ms10-040.nasl', 'secpod_ms10-046.nasl', 'secpod_ms10-047.nasl', 'secpod_ms10-048.nasl', 'secpod_ms10-049.nasl', 'secpod_ms10-051.nasl', 'secpod_ms10-053.nasl', 'secpod_ms10-054.nasl', 'secpod_ms10-055.nasl', 'secpod_ms10-061.nasl', 'secpod_ms10-062.nasl', 'secpod_ms10-065.nasl', 'secpod_ms10-073.nasl', 'secpod_ms10-074.nasl', 'secpod_ms10-076.nasl', 'secpod_ms10-094.nasl', 'secpod_ms10-098.nasl', 'secpod_ms_ie_mem_crptn_vuln.nasl']
soliddb_alive;1;['gb_ibm_soliddb_44158.nasl']
gnutella_search;1;['gnutella_export.nasl']
attack_dce_req_1;1;['msrpc-spike27.nasl']
get_OpenCA_version;1;['openca_html_injection.nasl']
parse_FPGetSrvrInfo;1;['asip-status.nasl']
attack_dce_req_2;1;['msrpc-spike27.nasl']
test_db2_port;1;['db2_dos.nasl']
pluck_counted;1;['asip-status.nasl']
get_apache_version;1;['http_version.nasl']
report_backdoor;1;['tftpd_backdoor.nasl']
test_stonegate;1;['stonegate_detect.nasl']
ModuleE;1;['os_fingerprint.nasl']
ModuleD;1;['os_fingerprint.nasl']
ModuleC;1;['os_fingerprint.nasl']
ModuleB;1;['os_fingerprint.nasl']
myintstring_to_int;1;['dns_xfer.nasl']
